game_id,date,name,team,opp,score,cat,scored,ixg_l10,hdcf_l10,sog_l10,atoi_l10
2008020209,20081109,Zach Parise,NJD,EDM,9.11,JOUABLE,1,0.422,0.5,4.0,20.1
2008020210,20081109,Patrick Kane,CHI,CGY,8.11,JOUABLE,1,0.388,0.4,3.4,20.5
2008020211,20081109,Shane Doan,ARI,SJS,8.63,JOUABLE,0,0.403,0.5,3.7,21.0
2008020211,20081109,Joe Pavelski,SJS,ARI,8.11,JOUABLE,0,0.485,1.0,3.8,19.9
2008020211,20081109,Ryane Clowe,SJS,ARI,7.56,JOUABLE,1,0.53,0.8,4.3,16.1
2008020211,20081109,Patrick Marleau,SJS,ARI,8.63,JOUABLE,0,0.405,0.5,3.9,22.3
2008020212,20081109,Corey Perry,ANA,FLA,7.56,JOUABLE,1,0.404,0.1,3.7,18.1
2008020212,20081109,Ryan Getzlaf,ANA,FLA,8.37,JOUABLE,0,0.532,0.7,3.5,19.1
2008020214,20081110,Vincent Lecavalier,TBL,WSH,7.84,JOUABLE,0,0.402,0.5,4.3,19.5
2008020215,20081111,Jeff Carter,PHI,NYI,8.63,JOUABLE,0,0.342,0.1,4.2,21.3
2008020216,20081111,Henrik Zetterberg,DET,PIT,8.63,JOUABLE,1,0.443,0.4,3.9,20.2
2008020216,20081111,Sidney Crosby,PIT,DET,9.55,SAFE,1,0.51,0.6,3.6,21.4
2008020216,20081111,Evgeni Malkin,PIT,DET,9.34,JOUABLE,1,0.434,0.3,4.3,22.0
2008020216,20081111,Miroslav Satan,PIT,DET,7.56,JOUABLE,0,0.429,0.6,2.6,17.7
2008020217,20081111,Dany Heatley,OTT,MTL,9.55,SAFE,0,0.471,0.5,3.5,21.1
2008020217,20081111,Jason Spezza,OTT,MTL,7.56,JOUABLE,0,0.306,0.5,2.7,20.7
2008020219,20081111,Brenden Morrow,DAL,LAK,8.37,JOUABLE,0,0.387,0.2,3.7,22.0
2008020219,20081111,Dustin Brown,LAK,DAL,9.55,SAFE,1,0.558,0.4,5.2,20.7
2008020220,20081111,Joe Pavelski,SJS,NSH,9.34,JOUABLE,0,0.447,0.9,3.6,20.0
2008020220,20081111,Ryane Clowe,SJS,NSH,8.63,JOUABLE,0,0.536,0.8,4.2,16.4
2008020220,20081111,Devin Setoguchi,SJS,NSH,8.11,JOUABLE,1,0.392,0.5,3.5,15.9
