game_id,date,season,name,team,opp,qs_v10,scored,pp1,is_home,is_b2b,opp_is_b2b,ixg_l10,hdcf_l10,sog_l10,atoi_l10,season_g,ga_g,hdca_g,l3_goals,l5_goals,l3_scored,l5_scored,l10_goals,l10_scored,consec_goals,luck_factor
2008020087,20081022,2008,Dany Heatley,OTT,FLA,11.542,0,1,1,0,0,0.675,0.6,2.6,21.6,0.8,3.4,3.0,1.0,4.0,1,3,4.0,3,0,1.185
2008020087,20081022,2008,Jason Spezza,OTT,FLA,10.119,0,1,1,0,0,0.2592,0.0,3.0,21.3,0.6,3.4,3.0,2.0,3.0,1,2,3.0,2,0,2.315
2008020088,20081022,2008,Brenden Morrow,DAL,NJD,9.941,0,1,0,0,0,0.541,0.5,3.5,21.2,0.333,1.8,2.0,1.0,1.0,1,1,2.0,2,1,0.616
2008020088,20081022,2008,Brad Richards,DAL,NJD,3.881,0,0,0,0,0,0.1938,0.17,3.33,20.9,0.333,1.8,2.0,1.0,1.0,1,1,2.0,2,0,1.72
2008020088,20081022,2008,Mike Modano,DAL,NJD,5.374,0,1,0,0,0,0.243,0.17,2.83,18.8,0.5,1.8,2.0,1.0,3.0,1,2,3.0,2,1,2.058
2008020088,20081022,2008,John Madden,NJD,DAL,7.281,1,0,1,0,0,0.2394,0.2,3.0,18.6,0.2,4.0,2.67,1.0,1.0,1,1,1.0,1,0,0.835
2008020088,20081022,2008,Zach Parise,NJD,DAL,10.581,1,1,1,0,0,0.3728,0.2,4.6,18.3,0.6,4.0,2.67,1.0,3.0,1,3,3.0,3,1,1.609
2008020088,20081022,2008,Patrik Elias,NJD,DAL,10.945,0,1,1,0,0,0.5166,1.4,4.4,17.4,0.4,4.0,2.67,0.0,2.0,0,2,2.0,2,0,0.774
2008020089,20081022,2008,Mike Richards,PHI,SJS,7.836,1,1,1,0,0,0.343,0.2,1.8,23.3,0.6,2.0,1.33,1.0,3.0,1,3,3.0,3,0,1.749
2008020089,20081022,2008,Daniel Briere,PHI,SJS,5.374,1,1,1,0,0,0.307,0.2,2.6,18.7,0.4,2.0,1.33,2.0,2.0,1,1,2.0,1,1,1.303
2008020089,20081022,2008,Jeff Carter,PHI,SJS,6.164,1,1,1,0,0,0.2066,0.0,3.6,21.6,0.6,2.0,1.33,2.0,3.0,2,3,3.0,3,1,2.904
2008020089,20081022,2008,Scott Hartnell,PHI,SJS,2.953,0,0,1,0,0,0.1526,0.0,2.6,16.9,0.2,2.0,1.33,0.0,1.0,0,1,1.0,1,0,1.311
2008020089,20081022,2008,Jonathan Cheechoo,SJS,PHI,9.335,0,1,0,0,0,0.3217,0.17,2.33,16.5,0.667,4.4,4.2,2.0,2.0,2,2,4.0,3,1,2.073
2008020089,20081022,2008,Joe Pavelski,SJS,PHI,6.719,1,0,0,0,0,0.2503,0.17,2.67,17.7,0.333,4.4,4.2,1.0,2.0,1,2,2.0,2,1,1.332
2008020089,20081022,2008,Patrick Marleau,SJS,PHI,11.37,1,1,0,0,0,0.4637,1.0,3.5,22.5,0.333,4.4,4.2,2.0,2.0,1,1,2.0,1,0,0.719
2008020090,20081022,2008,Marian Hossa,DET,STL,8.106,0,0,0,0,0,0.3044,0.0,4.6,17.9,0.2,3.0,1.8,1.0,1.0,1,1,1.0,1,1,0.657
2008020090,20081022,2008,Johan Franzen,DET,STL,10.285,1,1,0,0,0,0.3732,0.2,3.4,18.1,0.6,3.0,1.8,1.0,3.0,1,2,3.0,2,1,1.608
2008020090,20081022,2008,Tomas Holmstrom,DET,STL,9.335,1,1,0,0,0,0.3508,0.6,2.0,16.3,1.0,3.0,1.8,3.0,5.0,3,4,5.0,4,3,2.851
2008020090,20081022,2008,Brad Boyes,STL,DET,5.374,1,0,1,0,0,0.2168,0.0,2.0,20.5,0.8,2.8,3.0,2.0,4.0,2,4,4.0,4,0,3.69
2008020090,20081022,2008,David Backes,STL,DET,2.776,0,0,1,0,0,0.0562,0.0,1.2,16.5,0.2,2.8,3.0,0.0,1.0,0,1,1.0,1,0,3.559
2008020090,20081022,2008,Andy McDonald,STL,DET,10.439,0,1,1,0,0,0.3892,0.4,3.4,20.6,0.2,2.8,3.0,1.0,1.0,1,1,1.0,1,1,0.514
2008020090,20081022,2008,Keith Tkachuk,STL,DET,10.945,1,1,1,0,0,0.5588,0.6,4.2,16.6,1.2,2.8,3.0,3.0,6.0,3,5,6.0,5,5,2.147
